% Model:              Luke_electric_field_simulation_V2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Mar 11 2024, 22:31
% Dimension:          3
% Nodes:              5305
% Expressions:        1
% Description:        Multislice
% x                       y                        z                        Color
-30.06101299408992        -19.613441691439494      0                        7.275957614183426E-12
-27.7549671126122         -24.595847593384708      0                        3.031649005909761E-12
-27.1807034784928         -23.01022933659245       0                        3.637978807091713E-12
-26.68450621403016        -21.40238027650432       0                        -5.716823839715549E-12
-27.790164364893364       -20.614281472600837      0                        5.305385760342081E-12
-26.201649387305956       -24.308148998059828      0                        -5.002220859751105E-12
-31.619480296499873       -17.044736126042928      0                        4.016934932830433E-12
-33.14715877400698        -17.01466217040494       0                        2.7284841053187847E-12
-24.264358932552476       -28.208838672569588      0                        -1.8189894035458565E-12
-26.626725885111785       -25.928824761182682      0                        -3.789561257387201E-12
-22.516404117708067       -26.230887084701152      0                        9.701276818911234E-12
-21.34969520406408        -27.204407536538998      0                        4.850638409455617E-12
-22.782360514816965       -27.704518681843464      0                        2.7284841053187847E-12
-23.00277223094198        -29.26473844923478       0                        9.094947017729282E-13
-21.693253150799517       -30.220002318307053      0                        6.366462912410498E-12
-20.2757631515979         -31.058190669882126      0                        -7.882287415365378E-12
-18.844860457672613       -30.320696051993764      0                        1.5764574830730755E-11
-18.81404600082079        -31.953512531581268      0                        1.0307606620093187E-11
-21.54046157353913        -28.709051480841932      0                        -4.244308608273665E-12
-20.232264028556415       -29.540614511386874      0                        -2.4253192047278085E-12
-20.1474211449126         -28.10802290390125       0                        4.850638409455617E-12
-33.732069271060205       -23.71860653719201       -1.1102230246251565E-16  -3621.048394802141
-26.43286574498995        -31.714398659688165      -1.6653345369377348E-16  -3081.0999742479594
-26.00656917129801        -32.14484708861586       -1.1102230246251565E-16  -2691.8820509193497
-31.587257158723446       -26.590300059382454      -8.326672684688674E-17   -3534.042313089662
-31.53921736559746        -26.86479809654793       -1.1102230246251565E-16  -3457.224453105677
-31.173855897686327       -27.050558120622664      2.7755575615628914E-17   -3435.804412168066
-24.029801663459143       -34.021201715180126      1.1102230246251565E-16   -2600.2842200438577
-22.996828786564123       -34.68112189955766       0                        -2245.0686848711753
-21.091037197175353       -35.98620632574334       5.551115123125783E-17    -2064.3706900720535
-27.950997658767683       -30.79776734525674       0                        -2871.787106380422
-27.47100831144637        -31.451731111587694      2.7755575615628914E-17   -2681.103947116894
-29.39185599317971        -29.260684439918485      0                        -2858.854020000428
-28.65979369344428        -30.48124281635205       8.326672684688674E-17    -2576.0080230469794
-29.44865235252167        -29.97246792535483       2.220446049250313E-16    -2780.0133809554954
-30.670017786662633       -29.801606571915507      5.551115123125783E-17    -2518.6231562812895
-30.972573850192106       -28.999073041357008      -1.3877787807814457E-17  -2740.7866290467364
-30.91045448560194        -28.602725168014032      0                        -3028.330892179658
-30.970841697212638       -28.537632955118024      -1.249000902703301E-16   -2897.048186469494
-25.528850072008364       -32.435200920900186      -5.551115123125783E-17   -2590.765256748728
-26.476315510518248       -32.35181939650657       -5.551115123125783E-17   -2642.9741010665957
-25.830881224196123       -32.764829413200204      5.551115123125783E-17    -2547.370050814115
-25.25208283284703        -34.06920129410297       1.1102230246251565E-16   -2110.912129241734
-26.451933303819814       -33.42367992093324       0                        -2167.3155211051503
-23.896021521800506       -35.482544852544486      0                        -1914.734494658648
-25.035767681600785       -35.510263032085554      -2.220446049250313E-16   -1777.1247505208628
-24.996124937142415       -35.00030399881243       5.551115123125783E-17    -1873.0930815974305
-25.739969834008193       -34.674232473984645      -1.1102230246251565E-16  -1921.242404494406
-32.9448523758353         -14.366277393934878      0                        -1.2126596023639042E-12
