Model:,Luke_electric_field_simulation_V2.mph,,,
Version:,COMSOL,5.6.0.401,,
Date:,Mar,11,"2024,",22:13
Dimension:,3,,,
Nodes:,46324,,,
Expressions:,1,,,
Description:,Multislice,,,
x,y,z,Color,
-40.59404751,-7.08E-15,2.710179162,-6241.614475,
-40.73602197,-7.09E-15,2.649662015,-6221.187697,
-40.73575435,-7.12E-15,2.772363606,-6186.1106,
-40.73455699,-7.11E-15,3.828461414,-5927.167951,
-41.04546895,-7.11E-15,3.519152499,-5913.564077,
-40.47170313,-7.11E-15,3.906660417,-5971.870545,
-41.32754177,-7.09E-15,3.652048489,-5826.353037,
-40.95434036,-7.11E-15,3.763075879,-5889.784592,
-41.38255967,-7.08E-15,3.579156764,-5804.978781,
-40.88577835,-7.13E-15,3.21094229,-6021.777662,
-41.43697759,-7.16E-15,3.619491342,-5792.09981,
-40.3950989,-7.08E-15,5.53203907,-5824.279238,
-40.61438772,-7.11E-15,5.754090238,-5779.745459,
-40.48483808,-7.11E-15,5.518045596,-5811.756528,
-40.29499609,-7.10E-15,5.547699813,-5841.33837,
-39.99149857,-7.11E-15,5.595107562,-5892.957119,
-40.17454178,-7.08E-15,5.781151475,-5855.357306,
-40.39501441,-7.11E-15,5.851204927,-5814.614643,
-40.72445949,-7.11E-15,5.95515933,-5755.471405,
-39.99124286,-7.12E-15,5.723151067,-5889.024985,
-40.39551521,-7.09E-15,6.006194134,-5810.390332,
-40.02884906,-7.10E-15,6.063267217,-5872.206963,
-40.33479698,-7.11E-15,5.470520759,-5838.552286,
-40.80091938,-7.11E-15,5.943276361,-5742.670646,
-40.39496942,-7.13E-15,5.489659579,-5827.697835,
-40.79934848,-7.12E-15,5.617665337,-5755.824252,
-40.88697859,-7.11E-15,5.929944938,-5726.644389,
-41.0133821,-7.13E-15,5.684992116,-5714.077051,
-39.99176286,-7.11E-15,6.069030948,-5878.44688,
-39.99118843,-7.08E-15,5.361684311,-5900.161409,
-40.36241689,-7.15E-15,5.444204429,-5837.74627,
-40.05301027,-7.11E-15,5.012018772,-5912.825352,
-39.99220085,-7.10E-15,4.940760742,-5926.706656,
-39.99797152,-7.11E-15,4.935271233,-5926.160048,
-39.99218122,-7.11E-15,4.927194442,-5927.560326,
-39.99221755,-7.11E-15,4.91317709,-5928.438689,
-40.00295208,-7.11E-15,4.930599023,-5925.693405,
-40.18315744,-7.11E-15,4.759458441,-5908.592511,
-39.99168754,-7.08E-15,4.492715654,-5954.808152,
-40.39530725,-7.08E-15,5.413301397,-5834.653594,
-40.54854907,-7.13E-15,5.268393783,-5820.484721,
-40.39551221,-7.08E-15,5.055199924,-5857.241112,
-40.39721758,-7.09E-15,4.685401461,-5887.887037,
-40.34785012,-7.12E-15,4.605215213,-5901.519944,
-40.80113342,-7.09E-15,5.34072533,-5776.934819,
-40.68074643,-7.12E-15,5.145109293,-5810.04536,
-40.11648035,-7.11E-15,4.230219909,-5977.128415,
-39.9928177,-7.11E-15,4.085884996,-6000.450267,
-40.80195665,-7.09E-15,5.16122839,-5776.887235,
-40.39744078,-7.12E-15,4.611818137,-5902.483734,
-40.8934189,-7.11E-15,5.2854517,-5748.542008,
-40.43492898,-7.08E-15,4.662734316,-5890.84395,
-41.20647252,-7.11E-15,5.710638643,-5668.384487,
-40.00541497,-7.11E-15,4.067299022,-6020.702294,
-39.99175388,-7.11E-15,6.093584739,-5878.064085,
-40.2503685,-7.11E-15,6.245955681,-5831.533027,
-40.7754999,-7.11E-15,5.98517347,-5747.142501,
-39.99183983,-7.10E-15,6.444917526,-5872.409249,
-40.0098145,-7.10E-15,6.646629299,-5867.621548,
-40.73338813,-7.11E-15,6.055160304,-5750.756071,
-40.39535736,-7.13E-15,6.330741528,-5805.027119,
-40.80087784,-7.11E-15,5.999985504,-5739.87676,
-39.99178816,-7.13E-15,6.661357664,-5871.983397,
-40.36247399,-7.11E-15,6.916241335,-5818.543751,
-40.62579976,-7.11E-15,6.813309601,-5774.287159,
-40.42960972,-7.11E-15,6.760385035,-5804.238935,
-40.00083445,-7.12E-15,6.667546089,-5872.179771,
-40.03611788,-7.10E-15,6.65373453,-5865.098299,
-41.04470142,-7.10E-15,6.258928541,-5703.311614,
-40.56481119,-7.09E-15,6.446513423,-5779.336683,
-40.97874158,-7.10E-15,6.121347278,-5712.410983,
-40.69988927,-7.11E-15,6.539423643,-5759.159342,
-40.59890071,-7.08E-15,7.078861781,-5783.583906,
-40.85055882,-7.10E-15,6.8741449,-5743.025723,
-40.29498904,-7.11E-15,6.870135201,-5828.426584,
-40.92796288,-7.12E-15,6.69504512,-5726.518579,
-40.72492104,-7.12E-15,7.164849243,-5770.386913,
-41.08243239,-7.10E-15,6.337629072,-5697.000217,
-40.52537515,-7.02E-15,7.146488255,-5801.338099,
